send_time_ns,exit_time_ns,sender_to_A_s,service_time_A_s,A_to_B_s,service_time_B_s,B_to_sink_s,end_to_end_s,threads_A,threads_B,lambda,queue_len_A,queue_len_B
12452465466604991,12452465635738747,0.0202371,0.0200662,0.147998,0.0500692,0.000898751,0.169134,10,10,256.522,0,0
12452465463470739,12452465635774053,0.0203515,0.020072,0.151022,0.050073,0.0009303,0.172303,10,10,256.522,0,0
12452465484775758,12452465635783250,0.0202436,0.0200661,0.129917,0.0500711,0.000846513,0.151007,10,10,256.522,0,0
12452465469690041,12452465635791475,0.020241,0.0200655,0.145031,0.0500662,0.00082897,0.166101,10,10,256.522,0,0
12452465485862440,12452465635801875,0.0202324,0.0200652,0.128926,0.0500781,0.000781242,0.149939,10,10,256.522,0,0
12452465524185339,12452465635814619,0.0201679,0.0200676,0.0908631,0.0500644,0.00059828,0.111629,10,10,256.522,0,0
12452465516107240,12452465635830538,0.0201596,0.0200665,0.0989534,0.0500652,0.000610281,0.119723,10,10,256.522,0,0
12452465512945446,12452465635857128,0.0202305,0.0200658,0.102056,0.0500675,0.00062564,0.122912,10,10,256.522,0,0
12452465532266944,12452465635865774,0.0201762,0.0200714,0.0828202,0.0500648,0.000602447,0.103599,10,10,256.522,0,0
12452465514030185,12452465635874200,0.0201928,0.020065,0.101083,0.0500659,0.000568303,0.121844,10,10,256.522,0,0
12452465538345474,12452465690297924,0.0201735,0.0200723,0.126395,0.0500643,0.00538374,0.151952,10,10,282.561,0,0
12452465539428810,12452465690317470,0.0201745,0.0200703,0.125312,0.0500642,0.00540193,0.150889,10,10,282.561,0,0
12452465547510526,12452465690326447,0.0202939,0.0200689,0.117211,0.0500672,0.00531097,0.142816,10,10,282.561,0,0
12452465553592361,12452465690335093,0.0201779,0.0200681,0.111265,0.0500645,0.00529947,0.136743,10,10,282.561,0,0
12452465554669506,12452465690346565,0.020161,0.0200679,0.110273,0.0500685,0.00524281,0.135677,10,10,282.561,0,0
12452465562752013,12452465690361412,0.0202681,0.0200745,0.102269,0.0500621,0.00507201,0.127609,10,10,282.561,0,0
12452465565847212,12452465690370459,0.0201748,0.0200697,0.0992718,0.0500635,0.0050766,0.124523,10,10,282.561,0,0
12452465572926944,12452465690380859,0.0201758,0.0200704,0.0922009,0.0500634,0.00507728,0.117454,10,10,282.561,0,0
12452465598092233,12452465690398281,0.0201934,0.0200663,0.0674116,0.050064,0.00470097,0.092306,10,10,282.561,0,0
12452465600176641,12452465690407268,0.0201546,0.0200608,0.065411,0.0500648,0.00466499,0.0902306,10,10,282.561,0,0
12452465608331435,12452465738130990,0.0201511,0.0200665,0.106505,0.0500664,0.0031438,0.1298,10,10,456.004,1,20
12452465603254218,12452465738154765,0.0201616,0.02007,0.111571,0.0500671,0.0031676,0.134901,10,10,456.004,1,20
12452465635412366,12452465738164102,0.0201769,0.0200642,0.0795001,0.0500665,0.00307472,0.102752,10,10,456.004,1,20
12452465638489952,12452465738172728,0.0201607,0.0200633,0.0764557,0.050065,0.00306645,0.0996828,10,10,456.004,1,20
12452465644568862,12452465738182086,0.020159,0.0200681,0.070454,0.0500688,0.00300016,0.0936132,10,10,456.004,1,20
12452465646647901,12452465738194128,0.0201498,0.0200659,0.068563,0.0500638,0.00283341,0.0915462,10,10,456.004,1,20
12452465660727024,12452465740589769,0.0201571,0.0200623,0.0594001,0.050066,0.000305601,0.0798627,14,24,456.004,1,20
