19:35:31 [INFO][workerB] Starting...
19:35:31 [INFO][workerB] All connections established
19:35:31 [INFO][workerB] Synchronized and ready
19:35:32 [INFO][WorkerB] Threadpool incremented by: 12
19:35:32 [INFO][WorkerB] Threadpool incremented by: 7
19:35:33 [INFO][WorkerB] Threadpool decremented by: 5
19:35:33 [INFO][WorkerB] Threadpool incremented by: 4
19:35:34 [INFO][WorkerB] Threadpool decremented by: 5
19:35:34 [INFO][WorkerB] Threadpool incremented by: 2
19:35:35 [INFO][WorkerB] Threadpool incremented by: 1
19:35:35 [INFO][WorkerB] Threadpool incremented by: 4
19:35:36 [INFO][WorkerB] Threadpool decremented by: 5
19:35:36 [INFO][WorkerB] Threadpool incremented by: 6
19:35:37 [INFO][WorkerB] Threadpool decremented by: 5
19:35:37 [INFO][WorkerB] Threadpool decremented by: 2
19:35:38 [INFO][WorkerB] Threadpool incremented by: 1
19:35:38 [INFO][WorkerB] Threadpool decremented by: 5
19:35:39 [INFO][WorkerB] Threadpool incremented by: 1
19:35:39 [INFO][WorkerB] Threadpool incremented by: 3
19:35:40 [INFO][WorkerB] Threadpool incremented by: 3
19:35:40 [INFO][WorkerB] Threadpool incremented by: 2
19:35:41 [INFO][WorkerB] Threadpool incremented by: 5
19:35:42 [INFO][WorkerB] Threadpool decremented by: 5
19:35:42 [INFO][WorkerB] Threadpool incremented by: 4
19:35:43 [INFO][WorkerB] Threadpool decremented by: 5
19:35:43 [INFO][WorkerB] Threadpool incremented by: 2
19:35:44 [INFO][WorkerB] Threadpool incremented by: 4
19:35:44 [INFO][WorkerB] Threadpool incremented by: 1
19:35:45 [INFO][WorkerB] Threadpool incremented by: 1
19:35:45 [INFO][WorkerB] Threadpool decremented by: 2
19:35:46 [INFO][WorkerB] Threadpool decremented by: 5
19:35:46 [INFO][WorkerB] Threadpool incremented by: 10
19:35:47 [INFO][WorkerB] Threadpool incremented by: 2
19:35:47 [INFO][WorkerB] Threadpool incremented by: 1
19:35:48 [INFO][WorkerB] Threadpool decremented by: 5
19:35:48 [INFO][WorkerB] Threadpool decremented by: 5
19:35:49 [INFO][WorkerB] Threadpool incremented by: 6
19:35:49 [INFO][WorkerB] Threadpool decremented by: 5
19:35:50 [INFO][WorkerB] Threadpool decremented by: 5
19:35:50 [INFO][WorkerB] Threadpool incremented by: 9
19:35:51 [INFO][WorkerB] Threadpool decremented by: 5
19:35:51 [INFO][WorkerB] Threadpool decremented by: 5
19:35:52 [INFO][WorkerB] Threadpool incremented by: 1
19:35:52 [INFO][WorkerB] Threadpool incremented by: 1
19:35:53 [INFO][WorkerB] Threadpool decremented by: 5
19:35:53 [INFO][WorkerB] Threadpool decremented by: 5
19:35:54 [INFO][WorkerB] Threadpool incremented by: 6
19:35:54 [INFO][WorkerB] Threadpool decremented by: 4
19:35:55 [INFO][WorkerB] Threadpool incremented by: 3
19:35:55 [INFO][WorkerB] Threadpool decremented by: 5
19:35:56 [INFO][WorkerB] Threadpool incremented by: 5
19:35:56 [INFO][WorkerB] Threadpool decremented by: 5
19:35:57 [INFO][WorkerB] Threadpool incremented by: 2
19:35:57 [INFO][WorkerB] Threadpool incremented by: 5
19:35:58 [INFO][WorkerB] Threadpool decremented by: 5
19:35:58 [INFO][WorkerB] Threadpool incremented by: 1
19:35:59 [INFO][WorkerB] Threadpool incremented by: 1
19:35:59 [INFO][WorkerB] Threadpool incremented by: 5
19:36:00 [INFO][WorkerB] Threadpool decremented by: 5
19:36:00 [INFO][WorkerB] Threadpool decremented by: 5
19:36:01 [INFO][WorkerB] Threadpool incremented by: 14
19:36:01 [INFO][WorkerB] Threadpool decremented by: 5
19:36:02 [INFO][WorkerB] Threadpool incremented by: 9
19:36:02 [INFO][WorkerB] Threadpool decremented by: 5
19:36:03 [INFO][WorkerB] Threadpool incremented by: 3
19:36:03 [INFO][WorkerB] Threadpool decremented by: 5
19:36:04 [INFO][WorkerB] Threadpool incremented by: 5
19:36:04 [INFO][WorkerB] Threadpool incremented by: 8
19:36:05 [INFO][WorkerB] Threadpool decremented by: 5
19:36:05 [INFO][WorkerB] Threadpool decremented by: 5
19:36:06 [INFO][WorkerB] Threadpool incremented by: 5
19:36:06 [INFO][WorkerB] Threadpool decremented by: 5
19:36:07 [INFO][WorkerB] Threadpool incremented by: 5
19:36:07 [INFO][WorkerB] Threadpool incremented by: 3
19:36:08 [INFO][WorkerB] Threadpool decremented by: 5
19:36:08 [INFO][WorkerB] Threadpool incremented by: 2
19:36:09 [INFO][WorkerB] Threadpool incremented by: 2
19:36:09 [INFO][WorkerB] Threadpool decremented by: 5
19:36:10 [INFO][WorkerB] Threadpool decremented by: 5
19:36:10 [INFO][WorkerB] Threadpool incremented by: 9
19:36:11 [INFO][WorkerB] Threadpool decremented by: 5
19:36:11 [INFO][WorkerB] Threadpool decremented by: 5
19:36:12 [INFO][WorkerB] Threadpool decremented by: 2
19:36:12 [INFO][WorkerB] Threadpool decremented by: 5
19:36:13 [INFO][WorkerB] Threadpool incremented by: 2
19:36:13 [INFO][WorkerB] Threadpool incremented by: 5
19:36:14 [INFO][WorkerB] Threadpool decremented by: 2
19:36:15 [INFO][WorkerB] Threadpool incremented by: 2
19:36:15 [INFO][WorkerB] Threadpool incremented by: 4
19:36:16 [INFO][WorkerB] Threadpool decremented by: 5
19:36:16 [INFO][WorkerB] Threadpool decremented by: 5
19:36:17 [INFO][WorkerB] Threadpool incremented by: 6
19:36:17 [INFO][WorkerB] Threadpool decremented by: 4
19:36:18 [INFO][WorkerB] Threadpool incremented by: 4
19:36:18 [INFO][WorkerB] Threadpool decremented by: 1
19:36:19 [INFO][WorkerB] Threadpool decremented by: 5
19:36:19 [INFO][WorkerB] Threadpool incremented by: 3
19:36:20 [INFO][WorkerB] Threadpool incremented by: 2
19:36:20 [INFO][WorkerB] Threadpool incremented by: 2
19:36:21 [INFO][WorkerB] Threadpool decremented by: 5
19:36:21 [INFO][WorkerB] Threadpool decremented by: 2
19:36:22 [INFO][WorkerB] Threadpool incremented by: 6
19:36:22 [INFO][WorkerB] Threadpool incremented by: 2
19:36:23 [INFO][WorkerB] Threadpool incremented by: 2
19:36:23 [INFO][WorkerB] Threadpool incremented by: 2
19:36:24 [INFO][WorkerB] Threadpool incremented by: 7
19:36:24 [INFO][WorkerB] Threadpool decremented by: 5
19:36:25 [INFO][WorkerB] Threadpool decremented by: 2
19:36:25 [INFO][WorkerB] Threadpool incremented by: 3
19:36:26 [INFO][WorkerB] Threadpool decremented by: 5
19:36:26 [INFO][WorkerB] Threadpool incremented by: 3
19:36:27 [INFO][WorkerB] Threadpool decremented by: 5
19:36:27 [INFO][WorkerB] Threadpool incremented by: 12
19:36:28 [INFO][WorkerB] Threadpool decremented by: 5
19:36:28 [INFO][WorkerB] Threadpool decremented by: 5
19:36:29 [INFO][WorkerB] Threadpool incremented by: 4
19:36:29 [INFO][WorkerB] Threadpool decremented by: 5
19:36:30 [INFO][WorkerB] Threadpool decremented by: 5
19:36:30 [INFO][WorkerB] Threadpool incremented by: 8
19:36:31 [INFO][WorkerB] Threadpool decremented by: 5
19:36:31 [INFO][WorkerB] Threadpool decremented by: 5
19:36:32 [INFO][WorkerB] Threadpool incremented by: 5
19:36:32 [INFO][WorkerB] Threadpool decremented by: 5
19:36:33 [INFO][WorkerB] Threadpool decremented by: 5
19:36:33 [INFO][WorkerB] Threadpool incremented by: 7
19:36:34 [INFO][WorkerB] Threadpool decremented by: 2
19:36:34 [INFO][WorkerB] Threadpool decremented by: 5
19:36:35 [INFO][WorkerB] Threadpool incremented by: 2
19:36:35 [INFO][WorkerB] Threadpool incremented by: 5
19:36:36 [INFO][WorkerB] Threadpool decremented by: 5
19:36:36 [INFO][WorkerB] Threadpool incremented by: 6
19:36:37 [INFO][WorkerB] Threadpool decremented by: 5
19:36:37 [INFO][WorkerB] Threadpool incremented by: 7
19:36:38 [INFO][WorkerB] Threadpool decremented by: 5
19:36:38 [INFO][WorkerB] Threadpool decremented by: 5
19:36:39 [INFO][WorkerB] Threadpool incremented by: 5
19:36:40 [INFO][WorkerB] Threadpool decremented by: 5
19:36:40 [INFO][WorkerB] Threadpool incremented by: 7
19:36:41 [INFO][WorkerB] Threadpool decremented by: 2
19:36:41 [INFO][WorkerB] Threadpool incremented by: 6
19:36:42 [INFO][WorkerB] Threadpool decremented by: 5
19:36:42 [INFO][WorkerB] Threadpool incremented by: 7
19:36:43 [INFO][WorkerB] Threadpool decremented by: 2
19:36:43 [INFO][WorkerB] Threadpool incremented by: 3
19:36:44 [INFO][WorkerB] Threadpool incremented by: 1
19:36:44 [INFO][WorkerB] Threadpool decremented by: 2
19:36:45 [INFO][WorkerB] Threadpool incremented by: 5
19:36:45 [INFO][WorkerB] Threadpool incremented by: 4
19:36:46 [INFO][WorkerB] Threadpool decremented by: 5
19:36:46 [INFO][WorkerB] Threadpool decremented by: 5
19:36:47 [INFO][WorkerB] Threadpool incremented by: 4
19:36:47 [INFO][WorkerB] Threadpool incremented by: 6
19:36:48 [INFO][WorkerB] Threadpool decremented by: 5
19:36:48 [INFO][WorkerB] Threadpool incremented by: 3
19:36:49 [INFO][WorkerB] Threadpool decremented by: 5
19:36:49 [INFO][WorkerB] Threadpool decremented by: 5
19:36:50 [INFO][WorkerB] Threadpool decremented by: 2
19:36:50 [INFO][WorkerB] Threadpool incremented by: 2
19:36:51 [INFO][WorkerB] Threadpool decremented by: 2
19:36:51 [INFO][WorkerB] Threadpool incremented by: 7
19:36:52 [INFO][WorkerB] Threadpool decremented by: 5
19:36:52 [INFO][WorkerB] Threadpool decremented by: 3
19:36:53 [INFO][WorkerB] Threadpool incremented by: 1
19:36:53 [INFO][WorkerB] Threadpool decremented by: 2
19:36:54 [INFO][WorkerB] Threadpool decremented by: 5
